Datum,Produkt,Kategorie,Preis,Menge,Region
2025-03-12,Kopfhörer,Elektronik,120.0,14,Nord
2025-08-26,Kaffee,Lebensmittel,8.0,18,Süd
2025-08-03,Schrank,Möbel,500.0,17,Ost
2025-11-04,Stuhl,Möbel,150.0,8,Süd
2025-05-18,Bohrmaschine,Werkzeug,150.0,19,Süd
2025-08-30,Tablet,Elektronik,400.0,13,West
2025-02-23,Maus,Elektronik,25.0,13,Süd
2025-06-17,Smartphone,Elektronik,800.0,2,Nord
2025-04-13,Brot,Lebensmittel,3.0,3,West
2025-09-28,Smartphone,Elektronik,800.0,9,Nord
2025-02-13,Schraubenzieher,Werkzeug,15.0,5,West
2025-11-01,Sofa,Möbel,900.0,9,Ost
2025-10-19,Lampe,Möbel,80.0,16,Nord
2025-12-21,Tisch,Möbel,300.0,9,Ost
2025-10-02,Bohrmaschine,Werkzeug,150.0,19,West
2025-04-26,Regal,Möbel,200.0,18,Ost
2025-09-04,Stuhl,Möbel,150.0,9,Süd
2025-07-30,Tastatur,Elektronik,45.0,17,Süd
2025-06-04,Tastatur,Elektronik,45.0,5,Süd
2025-08-29,Tisch,Möbel,300.0,4,Ost
2025-12-24,Apfel,Lebensmittel,2.0,8,West
2025-08-14,Jacke,Bekleidung,120.0,18,Ost
2026-01-01,Jeans,Bekleidung,60.0,10,West
2025-12-06,Jeans,Bekleidung,60.0,13,West
2025-02-14,Smartwatch,Elektronik,200.0,7,Ost
2025-04-16,Tastatur,Elektronik,45.0,9,Ost
2025-03-19,Tastatur,Elektronik,45.0,9,Ost
2025-11-12,Smartphone,Elektronik,800.0,2,Nord
2025-10-07,Säge,Werkzeug,70.0,11,Nord
2025-12-12,Schrank,Möbel,500.0,15,West
2025-12-12,Milch,Lebensmittel,1.5,1,West
2025-08-21,Laptop,Elektronik,1200.0,19,Süd
2025-10-11,Kopfhörer,Elektronik,120.0,11,Nord
2025-10-25,T-Shirt,Bekleidung,20.0,16,Ost
2025-07-04,Monitor,Elektronik,250.0,3,West
2025-09-11,Tisch,Möbel,300.0,15,Ost
2025-12-17,Smartwatch,Elektronik,200.0,13,Süd
2025-07-20,Regal,Möbel,200.0,3,West
2025-12-02,Smartphone,Elektronik,800.0,16,Ost
2025-04-20,Lampe,Möbel,80.0,9,Ost
2025-07-13,Jeans,Bekleidung,60.0,14,Ost
2025-03-08,Tastatur,Elektronik,45.0,6,Nord
2025-08-15,Hammer,Werkzeug,20.0,20,West
2025-02-27,Tisch,Möbel,300.0,15,West
2025-03-25,Sneaker,Bekleidung,100.0,2,Ost
2025-02-02,Schrank,Möbel,500.0,7,Süd
2025-08-25,Maus,Elektronik,25.0,13,West
2025-12-31,Jeans,Bekleidung,60.0,16,Ost
2025-08-03,Tastatur,Elektronik,45.0,9,Ost
2025-12-19,Schrank,Möbel,500.0,2,Süd
2025-12-17,Schraubenzieher,Werkzeug,15.0,4,Ost
2025-12-15,Stuhl,Möbel,150.0,11,Süd
2025-09-06,Kopfhörer,Elektronik,120.0,12,West
2025-04-17,Tastatur,Elektronik,45.0,4,Ost
2025-08-02,Säge,Werkzeug,70.0,11,West
2025-12-24,Monitor,Elektronik,250.0,10,Süd
2025-03-17,Kaffee,Lebensmittel,8.0,13,Süd
2025-07-15,Brot,Lebensmittel,3.0,14,Ost
2025-12-07,Smartwatch,Elektronik,200.0,15,Ost
2025-01-22,Laptop,Elektronik,1200.0,2,Süd
2025-01-14,Maus,Elektronik,25.0,16,West
2025-10-05,Tablet,Elektronik,400.0,11,West
2025-08-18,Smartphone,Elektronik,800.0,5,Nord
2025-02-24,Schrank,Möbel,500.0,7,West
2025-07-02,T-Shirt,Bekleidung,20.0,13,Nord
2025-04-09,Tisch,Möbel,300.0,11,West
2025-05-21,Stuhl,Möbel,150.0,10,Nord
2025-07-28,Hammer,Werkzeug,20.0,1,Süd
2025-06-24,Smartphone,Elektronik,800.0,7,Süd
2025-06-15,Lampe,Möbel,80.0,18,Süd
2025-05-12,Lampe,Möbel,80.0,7,Ost
2025-06-01,T-Shirt,Bekleidung,20.0,14,Süd
2025-06-09,Smartphone,Elektronik,800.0,19,Süd
2025-07-12,Milch,Lebensmittel,1.5,10,Süd
2025-09-06,Jacke,Bekleidung,120.0,20,Süd
2025-09-17,Lampe,Möbel,80.0,20,Nord
2025-05-10,Apfel,Lebensmittel,2.0,15,Nord
2025-12-26,Kopfhörer,Elektronik,120.0,2,Nord
2025-06-26,Schraubenzieher,Werkzeug,15.0,16,Süd
2025-09-02,Apfel,Lebensmittel,2.0,19,West
2025-03-25,Apfel,Lebensmittel,2.0,11,West
2025-05-08,Regal,Möbel,200.0,18,Ost
2025-10-22,Säge,Werkzeug,70.0,17,Nord
2025-12-21,Bohrmaschine,Werkzeug,150.0,4,Süd
2025-09-08,Tastatur,Elektronik,45.0,3,West
2025-08-14,Kopfhörer,Elektronik,120.0,2,Nord
2025-12-11,Schraubenzieher,Werkzeug,15.0,18,West
2025-09-21,Jacke,Bekleidung,120.0,19,Nord
2025-02-21,Brot,Lebensmittel,3.0,12,Süd
2025-08-04,Brot,Lebensmittel,3.0,4,Ost
2025-08-18,Säge,Werkzeug,70.0,6,West
2025-03-01,Lampe,Möbel,80.0,18,Ost
2025-07-26,Hammer,Werkzeug,20.0,8,Süd
2025-11-04,Bohrmaschine,Werkzeug,150.0,15,West
2025-02-24,Monitor,Elektronik,250.0,16,Ost
2025-10-07,Smartwatch,Elektronik,200.0,15,Ost
2025-07-17,Lampe,Möbel,80.0,9,West
2025-11-19,Schrank,Möbel,500.0,14,West
2025-11-13,Smartphone,Elektronik,800.0,10,Nord
2025-08-04,Bohrmaschine,Werkzeug,150.0,2,Süd
2025-03-24,Stuhl,Möbel,150.0,5,Nord
2025-09-14,Tablet,Elektronik,400.0,19,Nord
2025-06-22,Hammer,Werkzeug,20.0,3,Ost
2025-09-20,Milch,Lebensmittel,1.5,19,Nord
2025-10-30,T-Shirt,Bekleidung,20.0,3,Ost
2025-03-30,Hammer,Werkzeug,20.0,18,Nord
2025-07-19,Monitor,Elektronik,250.0,18,West
2025-10-29,Jeans,Bekleidung,60.0,11,Ost
2025-11-26,Stuhl,Möbel,150.0,10,Ost
2025-04-12,Smartwatch,Elektronik,200.0,5,Ost
2025-10-07,Jeans,Bekleidung,60.0,11,Ost
2025-09-11,Brot,Lebensmittel,3.0,8,Ost
2025-10-18,Laptop,Elektronik,1200.0,20,Nord
2025-08-18,Laptop,Elektronik,1200.0,16,Nord
2025-12-21,Jacke,Bekleidung,120.0,20,Süd
2025-07-04,Bohrmaschine,Werkzeug,150.0,18,Nord
2025-07-04,Lampe,Möbel,80.0,9,Nord
2025-08-12,Tastatur,Elektronik,45.0,2,Süd
2025-08-06,Hammer,Werkzeug,20.0,17,Süd
2025-03-17,Hammer,Werkzeug,20.0,20,Nord
2025-09-01,Brot,Lebensmittel,3.0,18,Ost
2025-11-13,Monitor,Elektronik,250.0,8,West
2025-12-16,Smartwatch,Elektronik,200.0,11,Nord
2025-06-30,Hammer,Werkzeug,20.0,16,Süd
2025-08-14,Jacke,Bekleidung,120.0,1,Ost
2025-12-31,Laptop,Elektronik,1200.0,10,West
2025-04-23,Maus,Elektronik,25.0,15,Ost
2025-04-25,Monitor,Elektronik,250.0,2,Süd
2025-09-04,Milch,Lebensmittel,1.5,5,Nord
2025-08-22,Laptop,Elektronik,1200.0,8,Nord
2025-06-11,Apfel,Lebensmittel,2.0,18,Ost
2025-11-14,Regal,Möbel,200.0,16,West
2025-03-20,Apfel,Lebensmittel,2.0,7,Nord
2025-05-15,Bohrmaschine,Werkzeug,150.0,11,West
2025-07-23,Schrank,Möbel,500.0,11,Süd
2025-05-26,Stuhl,Möbel,150.0,14,West
2025-06-04,Smartwatch,Elektronik,200.0,15,West
2025-04-20,Schrank,Möbel,500.0,17,Nord
2025-05-17,Lampe,Möbel,80.0,9,Süd
2025-01-22,Sneaker,Bekleidung,100.0,3,West
2025-10-07,Sneaker,Bekleidung,100.0,19,Ost
2025-05-11,Maus,Elektronik,25.0,15,Süd
2025-08-31,Brot,Lebensmittel,3.0,15,Süd
2025-04-29,Säge,Werkzeug,70.0,14,Nord
2025-04-04,Brot,Lebensmittel,3.0,9,Süd
2025-06-13,Laptop,Elektronik,1200.0,5,Süd
2025-09-30,Maus,Elektronik,25.0,18,Ost
2025-04-20,Monitor,Elektronik,250.0,2,Ost
2025-03-09,Kopfhörer,Elektronik,120.0,12,Ost
2025-12-23,Monitor,Elektronik,250.0,17,Ost
2025-11-15,Sneaker,Bekleidung,100.0,10,Ost
2025-09-20,Milch,Lebensmittel,1.5,10,Süd
2025-10-04,Kaffee,Lebensmittel,8.0,2,West
2025-06-14,Kaffee,Lebensmittel,8.0,19,Süd
2025-06-30,Sneaker,Bekleidung,100.0,7,Süd
2025-06-27,Sofa,Möbel,900.0,3,Ost
2025-04-21,Laptop,Elektronik,1200.0,18,Nord
2025-03-27,Tisch,Möbel,300.0,6,West
2025-11-11,Stuhl,Möbel,150.0,1,Nord
2025-08-11,Apfel,Lebensmittel,2.0,18,Nord
2025-08-04,Maus,Elektronik,25.0,19,Süd
2025-01-27,Tisch,Möbel,300.0,19,Süd
2025-09-03,Jacke,Bekleidung,120.0,18,Süd
2025-08-20,Hammer,Werkzeug,20.0,17,Süd
2025-12-02,Apfel,Lebensmittel,2.0,11,Ost
2025-03-13,Kaffee,Lebensmittel,8.0,11,Süd
2025-02-02,Sofa,Möbel,900.0,11,Ost
2025-12-09,Maus,Elektronik,25.0,1,West
2025-11-14,Schraubenzieher,Werkzeug,15.0,9,Ost
2025-09-29,Schraubenzieher,Werkzeug,15.0,12,Nord
2025-08-28,Smartwatch,Elektronik,200.0,15,Süd
2025-10-20,Hammer,Werkzeug,20.0,14,West
2025-10-03,Laptop,Elektronik,1200.0,2,West
2025-07-22,Monitor,Elektronik,250.0,19,Nord
2025-09-24,Tablet,Elektronik,400.0,6,Nord
2025-05-21,Hammer,Werkzeug,20.0,9,Nord
2025-09-06,Laptop,Elektronik,1200.0,10,Ost
2025-10-15,Sofa,Möbel,900.0,12,Nord
2025-06-17,Smartwatch,Elektronik,200.0,18,Süd
2025-10-11,Lampe,Möbel,80.0,8,Ost
2025-06-29,Stuhl,Möbel,150.0,7,West
2025-06-09,T-Shirt,Bekleidung,20.0,1,West
2025-12-11,Kaffee,Lebensmittel,8.0,19,Nord
2025-06-30,Jeans,Bekleidung,60.0,15,West
2025-09-10,Lampe,Möbel,80.0,9,Nord
2025-08-24,Jeans,Bekleidung,60.0,17,Nord
2025-07-23,Brot,Lebensmittel,3.0,8,Süd
2025-07-24,Monitor,Elektronik,250.0,19,West
2025-11-26,Sneaker,Bekleidung,100.0,20,Nord
2025-09-25,Tablet,Elektronik,400.0,20,Ost
2026-01-01,Hammer,Werkzeug,20.0,14,West
2025-05-22,Smartphone,Elektronik,800.0,6,West
2025-03-16,Schrank,Möbel,500.0,5,Nord
2025-09-19,Tastatur,Elektronik,45.0,14,Ost
2025-11-10,Jeans,Bekleidung,60.0,2,Ost
2025-06-02,Säge,Werkzeug,70.0,19,Süd
2025-12-25,Brot,Lebensmittel,3.0,10,West
2025-07-03,Milch,Lebensmittel,1.5,13,West
2025-04-06,Sofa,Möbel,900.0,20,Ost
2025-02-06,Tablet,Elektronik,400.0,8,Ost
2025-12-19,Laptop,Elektronik,1200.0,7,Süd
2025-01-13,Milch,Lebensmittel,1.5,17,Nord
2025-06-03,Monitor,Elektronik,250.0,14,Ost
2025-11-03,Schrank,Möbel,500.0,1,Ost
2025-08-11,Tisch,Möbel,300.0,12,West
2025-04-30,Maus,Elektronik,25.0,12,Süd
2025-01-26,Lampe,Möbel,80.0,2,Ost
2025-11-19,Apfel,Lebensmittel,2.0,15,Süd
2025-11-19,Schraubenzieher,Werkzeug,15.0,12,Süd
2025-04-14,Kaffee,Lebensmittel,8.0,2,Nord
2025-08-27,Monitor,Elektronik,250.0,16,West
2025-07-17,Tastatur,Elektronik,45.0,14,West
2025-10-06,Smartwatch,Elektronik,200.0,3,Süd
2025-07-28,Sofa,Möbel,900.0,14,Süd
2025-07-16,Jacke,Bekleidung,120.0,13,West
2025-01-09,Tablet,Elektronik,400.0,8,Nord
2025-05-10,Jacke,Bekleidung,120.0,20,West
2025-11-18,Smartwatch,Elektronik,200.0,3,Nord
2025-09-11,Sneaker,Bekleidung,100.0,9,Ost
2025-01-05,Schrank,Möbel,500.0,20,Süd
2025-02-14,Tisch,Möbel,300.0,10,Ost
2025-03-20,Milch,Lebensmittel,1.5,1,Nord
2025-05-29,Sneaker,Bekleidung,100.0,15,Süd
2025-01-21,Brot,Lebensmittel,3.0,7,Nord
2025-12-21,Milch,Lebensmittel,1.5,4,Ost
2025-08-27,Smartwatch,Elektronik,200.0,9,Nord
2025-02-03,Schraubenzieher,Werkzeug,15.0,15,West
2025-01-13,Smartwatch,Elektronik,200.0,20,Süd
2025-03-09,Sneaker,Bekleidung,100.0,12,Nord
2025-07-10,Sofa,Möbel,900.0,6,Ost
2025-06-19,Apfel,Lebensmittel,2.0,5,Süd
2025-11-15,Sneaker,Bekleidung,100.0,14,Süd
2025-12-07,Smartwatch,Elektronik,200.0,7,Nord
2025-10-31,Regal,Möbel,200.0,3,Ost
2025-10-05,Regal,Möbel,200.0,5,West
2025-01-18,Brot,Lebensmittel,3.0,13,Nord
